VistID,Time_Spent,Internet_Usage,Ad_Topic,Time_Period,Weekday,Month,Year,Clicked
1000187,78.01,227.72,product_12,Noon,Sunday,July,2020,No
1000645,81.67,216.49,product_5,Morning,Thursday,March,2020,No
1001347,69.74,227.53,product_27,Morning,Friday,June,2020,No
1002135,76.83,223.2,product_23,Noon,Friday,July,2020,No
1003369,41.73,162.05,product_13,Night,Thursday,June,2020,Yes
1003446,83.16,245.5,product_27,Noon,Friday,July,2020,No
1007369,41.46,159.77,product_24,Noon,Thursday,January,2020,Yes
1008116,67.91,146.8,product_10,Mid-Night,Tuesday,January,2020,Yes
1008184,40.17,171.31,product_7,Noon,Monday,February,2020,Yes
1008446,65.9,232.68,product_30,Mid-Night,Thursday,July,2020,No
1011260,63.8,198.3,product_19,Night,Saturday,July,2020,Yes
1011459,79.81,123.62,product_26,Night,Tuesday,February,2020,Yes
1013820,67.28,207.18,product_16,Night,Sunday,April,2020,Yes
1016129,80.15,235.35,product_28,Night,Monday,April,2020,No
1016271,39.5,124.32,product_9,Night,Monday,July,2020,Yes
1017757,73.93,218.22,product_11,Mid-Night,Saturday,February,2020,No
1018151,41.16,106.86,product_23,Noon,Saturday,July,2020,Yes
1019070,71.23,117.3,product_21,Night,Tuesday,April,2020,Yes
1021235,78.7,124.44,product_8,Evening,Saturday,March,2020,Yes
1024382,50.52,184.23,product_20,Noon,Saturday,May,2020,Yes
1025141,66.88,133.42,product_12,Morning,Thursday,July,2020,Yes
1025316,59.22,126.39,product_11,Mid-Night,Wednesday,January,2020,Yes
1026652,79.09,209.72,product_8,Night,Saturday,May,2020,No
1026866,79.83,227.72,product_7,Evening,Friday,January,2020,No
1027242,82.87,220.05,product_28,Mid-Night,Saturday,April,2020,No
1032235,89.37,181.25,product_22,Mid-Night,Friday,July,2020,Yes
1034149,79.71,211.65,product_30,Noon,Saturday,July,2020,Yes
1037143,78.67,228.7,product_9,Evening,Friday,February,2020,No
1037741,80.59,201.26,product_13,Mid-Night,Thursday,April,2020,No
1038584,87.23,198.11,product_6,Evening,Monday,February,2020,No
1039768,82.49,135.24,product_27,Mid-Night,Wednesday,June,2020,Yes
1040751,63.6,204.56,product_6,Mid-Night,Wednesday,January,2020,No
1041182,87.18,230.14,product_21,Evening,Monday,March,2020,No
1041296,75.7,219.75,product_1,Evening,Wednesday,March,2020,No
1042677,59.22,140.39,product_26,Mid-Night,Friday,July,2020,Yes
1043655,36.37,175.37,product_17,Morning,Sunday,January,2020,Yes
1043658,87.46,158.05,product_27,Morning,Sunday,April,2020,No
1044938,77.89,164.25,product_15,Morning,Tuesday,April,2020,Yes
