VistID,Age,Avg_Income,Country_Name,Sex,DOB
1094760,19,43386,Belize,M,25-06-2003
1096860,19,31523,Venezuela,F,25-06-2003
1151077,19,23822,Pakistan,F,25-06-2003
1191007,19,50672,Macao,M,25-06-2003
1235255,19,61039.13,Gabon,M,25-06-2003
1440713,19,45593.93,Colombia,M,25-06-2003
1453290,19,50200,Belize,F,25-06-2003
1490757,19,68714,New Zealand,F,25-06-2003
1528838,19,57777,Sweden,F,25-06-2003
1673275,19,61009.1,Macedonia,F,25-06-2003
1772035,19,62785,Kazakhstan,F,25-06-2003
1879529,19,59886.58,Switzerland,F,25-06-2003
1965547,19,25408,Palestinian Territory,M,25-06-2003
1973233,19,45465,Morocco,F,25-06-2003
1979375,19,56379.3,Kyrgyz Republic,M,25-06-2003
2084612,19,73882.91,Zambia,M,25-06-2003
2108191,19,58526.04,Guadeloupe,F,25-06-2003
2306051,19,70495.64,Norway,F,25-06-2003
2409653,19,61757,Norfolk Island,M,25-06-2003
2414637,19,58920.44,Chile,F,25-06-2003
2428196,19,64287.78,Costa Rica,M,25-06-2003
2494742,19,76003.47,Bolivia,F,25-06-2003
2551462,19,74780.74,Tonga,F,25-06-2003
2636412,19,37213,Cote d'Ivoire,M,25-06-2003
2690896,19,56216.57,Israel,F,25-06-2003
2739547,19,71157.05,Grenada,F,25-06-2003
2744467,19,57737.51,Uzbekistan,F,25-06-2003
2770501,19,52581,Singapore,F,25-06-2003
2876644,19,57179.91,United States Minor Outlying Islands,M,25-06-2003
2941677,19,69476.42,Hong Kong,M,25-06-2003
3020103,19,68714,Czech Republic,F,25-06-2003
3080352,19,67516.07,Belarus,F,25-06-2003
3152791,19,54541.56,Costa Rica,M,25-06-2003
3184794,19,52563,Switzerland,F,25-06-2003
3190956,19,18819,Turkmenistan,F,25-06-2003
3329229,19,73392.28,San Marino,F,25-06-2003
3334080,19,52252.91,Saudi Arabia,F,25-06-2003
3343353,19,36914,Gambia,F,25-06-2003
3410998,19,66744.65,Djibouti,F,25-06-2003
3483515,19,61840.26,United Kingdom,F,25-06-2003
3572471,19,53013,Ukraine,M,25-06-2003
3587856,19,57777,Tajikistan,M,25-06-2003
3732415,19,66861.67,Mauritius,M,25-06-2003
3758569,19,47638,Mauritius,M,25-06-2003
3817502,19,67431,Lebanon,M,25-06-2003
3898871,19,57032.36,British Virgin Islands,F,25-06-2003
3922466,19,61526.25,Australia,F,25-06-2003
3994174,19,23975,Honduras,M,25-06-2003
4017921,19,66861.67,Nicaragua,M,25-06-2003
4113077,19,79484.8,Georgia,M,25-06-2003
4140593,19,28019,Tuvalu,F,25-06-2003
4217996,19,51317,Eritrea,M,25-06-2003
4228867,19,50216.01,Brazil,F,25-06-2003
4253629,19,61467.33,Trinidad and Tobago,M,25-06-2003
4299153,19,73474.82,Turkey,F,25-06-2003
4309268,19,75687.46,Portugal,M,25-06-2003
4322384,19,68333.01,Kyrgyz Republic,F,25-06-2003
4440100,19,35351,Luxembourg,M,25-06-2003
4464058,19,39724,Saint Vincent and the Grenadines,F,25-06-2003
4506012,19,69112.84,Nepal,F,25-06-2003
4674637,19,47575,Angola,M,25-06-2003
4723785,19,39810,Netherlands,F,25-06-2003
4770065,19,69710.51,Venezuela,M,25-06-2003
4771407,19,62729.4,Paraguay,M,25-06-2003
4811373,19,65461.92,Mozambique,M,25-06-2003
4838412,19,59611,Saint Lucia,M,25-06-2003
4874685,19,47708.42,Chile,F,25-06-2003
4904630,19,79332.33,Mauritania,M,25-06-2003
4906752,19,46964.11,Central African Republic,M,25-06-2003
5000747,19,42760.22,British Virgin Islands,M,25-06-2003
5159086,19,64045.93,Sri Lanka,M,25-06-2003
5247784,19,64021.55,Norway,M,25-06-2003
5408729,19,45593.93,Albania,F,25-06-2003
5438748,19,66107.84,Burkina Faso,M,25-06-2003
5509673,19,51049.47,Taiwan,M,25-06-2003
5524962,19,58909.36,British Virgin Islands,M,25-06-2003
5547614,19,66572.39,Holy See (Vatican City State),M,25-06-2003
5634309,19,75805,Kyrgyz Republic,M,25-06-2003
5656445,19,41920.79,Guatemala,F,25-06-2003
5667073,19,65963,Indonesia,M,25-06-2003
5681936,19,61601.05,Finland,F,25-06-2003
5713665,19,66980,Tajikistan,M,25-06-2003
5759769,19,76003.47,Turks and Caicos Islands,F,25-06-2003
5806757,19,49325.48,France,M,25-06-2003
5848751,19,59886.58,Monaco,F,25-06-2003
5852945,19,64927,French Guiana,M,25-06-2003
5893605,19,57545.56,Hong Kong,M,25-06-2003
5965101,19,42136,Singapore,M,25-06-2003
6015755,19,59785.94,Algeria,F,25-06-2003
6024405,19,56605.12,Niue,F,25-06-2003
6083102,19,40478.83,Palestinian Territory,M,25-06-2003
6266772,19,43445,Serbia,F,25-06-2003
6292281,19,40159,Bhutan,M,25-06-2003
6318761,19,51824,Senegal,M,25-06-2003
6347941,19,41768.13,Bermuda,F,25-06-2003
6385878,19,47448,Argentina,F,25-06-2003
6407237,19,58476.57,Saint Pierre and Miquelon,M,25-06-2003
6563698,19,54106.21,Timor-Leste,F,25-06-2003
6703348,19,71296.67,Cambodia,M,25-06-2003
6867089,19,64433.99,Guam,F,25-06-2003
6919231,19,51049.47,Timor-Leste,M,25-06-2003
7025664,19,70233,Norway,M,25-06-2003
7030821,19,60309.58,Senegal,M,25-06-2003
7051119,19,58633.63,Panama,F,25-06-2003
7215046,19,55764.43,Saint Pierre and Miquelon,F,25-06-2003
7293286,19,54045.39,Sudan,M,25-06-2003
7300724,19,57668,Andorra,M,25-06-2003
7340002,19,61610.05,Faroe Islands,M,25-06-2003
7371891,19,73538,United States Virgin Islands,F,25-06-2003
7385498,19,53767.12,Guinea,M,25-06-2003
7461621,19,39132,Denmark,M,25-06-2003
7474922,19,32689,Burundi,M,25-06-2003
7515014,19,63394.41,Uzbekistan,F,25-06-2003
7541564,19,44559.43,French Polynesia,M,25-06-2003
7552399,19,34309.24,South Georgia and the South Sandwich Islands,F,25-06-2003
7610511,19,57777,Jamaica,F,25-06-2003
7631953,19,41336,Belgium,F,25-06-2003
7692115,19,42252,Mongolia,F,25-06-2003
7719758,19,50337.93,Wallis and Futuna,F,25-06-2003
7730790,19,38745,Maldives,F,25-06-2003
7862367,19,54286,Canada,M,25-06-2003
7918362,19,58287.86,Taiwan,F,25-06-2003
7955132,19,66691.23,Nicaragua,F,25-06-2003
7966375,19,66636.84,Turks and Caicos Islands,F,25-06-2003
8009940,19,62204.93,Vietnam,M,25-06-2003
8046343,19,32537,Netherlands,M,25-06-2003
8140650,19,66524.8,Jamaica,M,25-06-2003
8143938,19,22456,Belgium,M,25-06-2003
8146781,19,73600.28,Ecuador,M,25-06-2003
8241260,19,47357.39,Samoa,M,25-06-2003
8263928,19,65883.39,Svalbard & Jan Mayen Islands,F,25-06-2003
8386827,19,49544.41,Cameroon,M,25-06-2003
8479791,19,69775.75,Norway,M,25-06-2003
8510730,19,61005.87,Hungary,F,25-06-2003
8625090,19,67080.94,Samoa,F,25-06-2003
8756439,19,50723.67,Bahamas,M,25-06-2003
8798422,19,76435.3,Pakistan,M,25-06-2003
8826194,19,23937,Saudi Arabia,F,25-06-2003
8862945,19,63580.22,Antigua and Barbuda,F,25-06-2003
8876108,19,63373.7,Georgia,M,25-06-2003
8889214,19,68862,Senegal,F,25-06-2003
8921457,19,53309.61,Nauru,F,25-06-2003
8925607,19,69710.51,Indonesia,F,25-06-2003
8954618,19,66025.11,Taiwan,F,25-06-2003
8964818,19,47708.42,Martinique,M,25-06-2003
9074584,19,61771.9,Jersey,F,25-06-2003
9111062,19,68783.45,Cayman Islands,F,25-06-2003
9142777,19,52530.1,Gabon,M,25-06-2003
9387804,19,60082.66,Zambia,F,25-06-2003
9427421,19,49206,Dominican Republic,M,25-06-2003
9437760,19,69285.69,Cuba,F,25-06-2003
9442137,19,33147,Barbados,M,25-06-2003
9612057,19,62491.01,Cyprus,F,25-06-2003
9722993,19,45959.86,British Virgin Islands,F,25-06-2003
9729847,19,43779,Liberia,F,25-06-2003
9743416,19,59458,France,F,25-06-2003
9772282,19,63884,Dominica,M,25-06-2003
9844842,19,62161.26,Christmas Island,F,25-06-2003
9894795,19,44490.09,Lebanon,M,25-06-2003
9957736,19,56593.8,Norway,M,25-06-2003
9996191,19,60997.84,Hungary,F,25-06-2003
9999536,19,72272.9,Saint Vincent and the Grenadines,M,25-06-2003
1096619,20,74166.24,Pitcairn Islands,F,25-06-2002
1254474,20,59243,Lithuania,M,25-06-2002
1310385,20,60803,Montenegro,F,25-06-2002
1326337,20,23943,British Indian Ocean Territory (Chagos Archipelago),M,25-06-2002
1399643,20,55187.85,Singapore,M,25-06-2002
1489366,20,55411.06,Ecuador,F,25-06-2002
1574946,20,64045.93,Jamaica,M,25-06-2002
1622497,20,77460.07,Morocco,M,25-06-2002
1696493,20,41920.79,Bahamas,M,25-06-2002
1710331,20,51816.27,Turkmenistan,F,25-06-2002
1827390,20,51739.63,Jordan,F,25-06-2002
1885851,20,63296.87,Saint Martin,M,25-06-2002
1920864,20,53767.12,Armenia,F,25-06-2002
1976150,20,18369,Ghana,F,25-06-2002
2022398,20,55479.62,Antarctica (the territory South of 60 deg S),F,25-06-2002
2028296,20,64433.99,Antigua and Barbuda,M,25-06-2002
2101577,20,76435.3,Sudan,M,25-06-2002
2117124,20,60283.47,Malawi,M,25-06-2002
2130278,20,50983.75,Benin,F,25-06-2002
2145170,20,48761.14,Egypt,M,25-06-2002
2163846,20,62336.39,Svalbard & Jan Mayen Islands,F,25-06-2002
2182204,20,48247,Mauritius,F,25-06-2002
2207251,20,56984,Timor-Leste,F,25-06-2002
2260606,20,73049.3,Norfolk Island,F,25-06-2002
2296033,20,65791.17,Belize,F,25-06-2002
2327014,20,46179.97,Dominica,F,25-06-2002
2333238,20,53049.44,Jamaica,F,25-06-2002
2486783,20,49283,Mauritania,F,25-06-2002
2505155,20,62927.96,Saudi Arabia,F,25-06-2002
2539291,20,59797.64,Vanuatu,F,25-06-2002
2599461,20,74024.61,Guinea,F,25-06-2002
2642618,20,53575,Tuvalu,F,25-06-2002
2693499,20,50983.75,Qatar,M,25-06-2002
2706887,20,64045.93,Cayman Islands,F,25-06-2002
2766968,20,59458,Saint Pierre and Miquelon,M,25-06-2002
2922003,20,40184,Dominica,M,25-06-2002
2942683,20,59621,Saint Barthelemy,F,25-06-2002
2943686,20,71727.51,Japan,M,25-06-2002
3124517,20,54725.87,Saudi Arabia,F,25-06-2002
3166542,20,55130.96,Ghana,F,25-06-2002
3227602,20,56694,New Caledonia,M,25-06-2002
3232698,20,29876,Djibouti,F,25-06-2002
3321061,20,75687.46,Ecuador,F,25-06-2002
3407776,20,49544.41,Eritrea,M,25-06-2002
3456761,20,66188,Cyprus,M,25-06-2002
3495664,20,60333,Falkland Islands (Malvinas),F,25-06-2002
3512356,20,58183,Costa Rica,F,25-06-2002
